"source","media_tags"
"aboge news","abogenews|national|website|indonesia|general|polri|ebdeskind"
"analisnews.co.id","analisnews|national|website|indonesia|general|tanggerang|banten|ebdeskind"
"businessnews.co.id","businessnews.co.id|national|website|indonesia|general|ebdeskind"
"cuplik.com","cuplik.com|national|website|indonesia|general|indramayu|jawabarat|ebdeskind"
"datasiana","datasiananational|website|indonesia|general|probolinggo|jawatimur|ebdeskind"
"dinamika nusantara news","dinamikanusantaranews|national|website|indonesia|general|ebdeskind"
"jangkar nusantara","jangkarnusantara|national|website|indonesia|general|ebdeskind"
"kabar daerah lampung","kabardaerahlampung|national|website|indonesia|general|lampung|ebdeskind"
"kaltim merah putih","kaltimmerahputih|national|website|indonesia|general|kalimantantimur|polri|ebdeskind"
"media baru","mediabaru|national|website|indonesia|general|lampung|ebdeskind"
"media dpr","mediadpr|national|website|indonesia|general|banten|ebdeskind"
"news daring","newsdaring|national|website|indonesia|general|kupang|nusatenggaratimur|ebdeskind"
"pelita baru","pelitabaru|national|website|indonesia|general|bogor|jawabarat|ebdeskind"
"rakyat sultra","rakyatsultra|national|website|indonesia|general|sulawesiutara|kendari|ebdeskind"
"suryanewsid","suryanewsid|national|website|indonesia|general|lampung|ebdeskind"
"trend fokus","trendfokus|national|website|indonesia|general|ujungpadang|sulawesiselatan|ebdeskind"
"utusan borneo","malaysia|mainstream|utusanborneo|ebdeskmy"
